Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-05-09,1101.41,1107.41,1089.87,1090.53,10.88000000000011,-17.54000000000019,0,1112.612,1037.4207999999999,0
NIFTY 50,1996-05-10,1076.97,1080.91,1063.75,1078.63,-1.6600000000000819,-17.160000000000082,0,1108.1119999999999,1038.4444,1
NIFTY 50,1996-05-13,1081.68,1090.16,1080.68,1088.1,-6.419999999999845,-9.480000000000018,0,1105.085,1039.6586,1
NIFTY 50,1996-05-14,1087.94,1107.44,1085.85,1105.47,-17.529999999999973,-21.590000000000146,0,1104.196,1041.9178,1
NIFTY 50,1996-05-15,1107.0,1117.41,1095.67,1115.97,-8.970000000000027,-21.74000000000001,0,1102.007,1044.2478,1
NIFTY 50,1996-05-16,1128.45,1141.64,1126.29,1128.59,-0.13999999999987267,-15.350000000000136,0,1101.661,1046.8428,0
NIFTY 50,1996-05-17,1122.42,1122.42,1113.59,1115.54,6.880000000000109,-8.830000000000155,0,1101.267,1049.0954,0
NIFTY 50,1996-05-20,1094.6,1094.6,1083.56,1083.67,10.929999999999836,-11.039999999999964,0,1100.812,1050.7998,0
NIFTY 50,1996-05-21,1077.18,1082.52,1074.19,1074.86,2.3200000000001637,-8.329999999999927,0,1098.989,1052.5246,1
NIFTY 50,1996-05-22,1082.25,1086.07,1079.61,1081.13,1.1199999999998909,-6.460000000000036,0,1096.249,1054.642,0
NIFTY 50,1996-05-23,1079.89,1079.89,1073.76,1076.71,3.1800000000000637,-6.130000000000109,0,1094.867,1056.6518,1
NIFTY 50,1996-05-24,1079.77,1087.77,1077.87,1085.03,-5.259999999999991,-9.900000000000091,0,1095.507,1058.5096,0
NIFTY 50,1996-05-27,1080.55,1080.55,1065.29,1065.29,15.259999999999991,-15.259999999999991,0,1093.226,1059.9926,0
NIFTY 50,1996-05-28,1054.62,1065.61,1046.95,1063.36,-8.740000000000009,-18.659999999999854,0,1089.015,1061.6224,1
NIFTY 50,1996-05-29,1074.23,1100.59,1074.23,1096.76,-22.529999999999973,-26.3599999999999,0,1087.0939999999998,1064.3158,0
NIFTY 50,1996-05-30,1095.86,1095.86,1082.58,1082.84,13.019999999999982,-13.279999999999973,0,1082.5189999999998,1067.0308,1
NIFTY 50,1996-05-31,1086.46,1089.92,1083.73,1089.92,-3.4600000000000364,-6.190000000000055,0,1079.9569999999999,1069.5178,1
NIFTY 50,1996-06-03,1098.18,1109.99,1098.18,1108.87,-10.689999999999827,-11.809999999999945,1,1082.477,1072.573,0
NIFTY 50,1996-06-04,1114.55,1118.13,1104.32,1105.64,8.909999999999854,-13.810000000000173,1,1085.5549999999998,1075.6062,1
NIFTY 50,1996-06-05,1108.78,1115.06,1104.45,1113.14,-4.360000000000127,-10.6099999999999,1,1088.756,1078.7262,1
NIFTY 50,1996-06-06,1129.17,1132.62,1127.52,1129.82,-0.6499999999998636,-5.099999999999909,1,1094.067,1081.8392,1
NIFTY 50,1996-06-07,1126.39,1134.86,1126.39,1133.44,-7.0499999999999545,-8.4699999999998,1,1098.908,1084.5616,1
NIFTY 50,1996-06-10,1136.86,1144.15,1136.86,1141.35,-4.490000000000009,-7.290000000000191,1,1106.514,1087.6826,1
